,Appt. Date,Acct,Vehicle Code,Trip#,PickUp Time,PickUp Address,Arrival Time,D/Off Address,Rider Fare,PickUp Lat,PickUp Lng,PickUp Zipcode,D/Off Lat,D/Off Lng,D/Off Zipcode,D/Off Type,Time Slots,Weekday
10853,10/21/2019,ADA,9-949,1,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Monday
3416,7/10/2019,ADA,9-963,2,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Wednesday
2509,4/10/2019,ADA,9-963,3,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Wednesday
7003,10/14/2019,ADA,9-963,4,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Monday
13781,10/25/2019,ADA,9-963,5,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Friday
6460,11/10/2019,ADA,9-963,6,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Sunday
14540,10/28/2019,ADA,9-963,7,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Monday
880,2/10/2019,ADA,9-963,8,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Sunday
4503,9/10/2019,ADA,9-963,9,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Tuesday
12139,10/23/2019,ADA,9-963,10,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Wednesday
8849,10/16/2019,ADA,9-963,11,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Wednesday
9810,10/18/2019,ADA,9-963,12,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Friday
15770,10/30/2019,ADA,9-963,13,345,2230 Hillsdale Ave.,375,6739 Seeco Dr,$3.00 ,42.3030528,-85.617046,49006,42.2926297,-85.6814376,49009,premise,Slot 21 : 5:00 - 5:59,Wednesday
15225,10/29/2019,ADA,*9-80,14,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Tuesday
11878,10/23/2019,SPC,9-963,15,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Wednesday
8513,10/16/2019,ADA,*9-82,16,360,7902 Lovers Ln,390,6739 Seeco Dr,$3.00 ,42.2024581,-85.5748877,49001,42.2926297,-85.6814376,49009,premise,Slot 22 : 6:00 - 6:59,Wednesday
16611,10/31/2019,SPC,9-970,17,360,420 North Wilson St,390,5500 Armstrong Rd,$4.00 ,42.1233297,-85.5241883,49097,42.3416573,-85.2935956,49037,premise,Slot 22 : 6:00 - 6:59,Thursday
11788,10/22/2019,ADA,*9-79,18,360,1324 N Church St,390,521 E Michigan Ave,$3.00 ,42.3036907,-85.5862,49007,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Tuesday
11883,10/23/2019,SPW,*9-80,19,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Wednesday
8554,10/16/2019,SPC,9-956,20,360,218 Garfield Ave,390,5235 Portage Rd,$4.00 ,42.2557053,-85.5850976,49001,42.2315867,-85.5500121,49002,premise,Slot 22 : 6:00 - 6:59,Wednesday
1053,2/10/2019,SPC,9-963,21,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Sunday
11909,10/23/2019,ADA,*9-80,22,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Wednesday
4816,9/10/2019,SPC,9-959,23,360,4303 Duke St,390,7141 Q Ave W,$4.00 ,42.2475577,-85.5945787,49008,42.2008199,-85.6894113,49009,premise,Slot 22 : 6:00 - 6:59,Tuesday
8347,10/16/2019,ADA,*9-80,24,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Wednesday
8364,10/16/2019,SPC,9-963,25,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Wednesday
8346,10/16/2019,SPW,*9-80,26,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Wednesday
12011,10/23/2019,SPC,9-954,27,360,1424 E VW Ave,390,2901 E Kilgore Rd,$4.00 ,42.1222604,-85.4209427,49097,42.245557,-85.5426275,49002,premise,Slot 22 : 6:00 - 6:59,Wednesday
16021,10/30/2019,ADA,*9-79,28,360,3706 Northview Dr,390,410 W Michigan Ave,$3.00 ,42.3296307,-85.6352771,49004,42.2918827,-85.5878173,49007,premise,Slot 22 : 6:00 - 6:59,Wednesday
14272,10/28/2019,SPW,*9-82,29,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Monday
5617,10/10/2019,ADA,*9-79,30,360,1324 N Church St,390,521 E Michigan Ave,$3.00 ,42.3036907,-85.5862,49007,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Thursday
2817,5/10/2019,SPC,9-957,31,360,9677 N 32nd St,390,521 E Michigan Ave,$4.00 ,42.399715,-85.457795,49083,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Friday
13595,10/25/2019,SPC,9-954,32,360,1424 E VW Ave,390,2901 E Kilgore Rd,$4.00 ,42.1222604,-85.4209427,49097,42.245557,-85.5426275,49002,premise,Slot 22 : 6:00 - 6:59,Friday
2847,5/10/2019,ADA,9-942,33,360,616 Dwight Ave,390,521 E Michigan Ave,$3.00 ,42.2977748,-85.5624162,49048,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Friday
8208,10/16/2019,SPC,9-959,34,360,4303 Duke St,390,7141 Q Ave W,$4.00 ,42.2475577,-85.5945787,49008,42.2008199,-85.6894113,49009,premise,Slot 22 : 6:00 - 6:59,Wednesday
5643,10/10/2019,SPC,*9-82,35,360,4303 Duke St,390,7141 Q Ave W,$4.00 ,42.2475577,-85.5945787,49008,42.2008199,-85.6894113,49009,premise,Slot 22 : 6:00 - 6:59,Thursday
1327,2/10/2019,ADA,9-970,36,360,3706 Northview Dr,390,410 W Michigan Ave,$3.00 ,42.3296307,-85.6352771,49004,42.2918827,-85.5878173,49007,premise,Slot 22 : 6:00 - 6:59,Sunday
2883,5/10/2019,SPC,9-956,37,360,1903 W Michigan Ave,390,10362 S Sprinkle Rd,$4.00 ,42.2845248,-85.6102235,49008,42.1666571,-85.5293177,49097,premise,Slot 22 : 6:00 - 6:59,Friday
2906,5/10/2019,SPC,9-958,38,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Friday
6226,11/10/2019,ADA,*9-80,39,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Sunday
8735,10/16/2019,ADA,9-949,40,360,3706 Northview Dr,390,410 W Michigan Ave,$3.00 ,42.3296307,-85.6352771,49004,42.2918827,-85.5878173,49007,premise,Slot 22 : 6:00 - 6:59,Wednesday
15275,10/29/2019,SPC,*9-82,41,360,4303 Duke St,390,7141 Q Ave W,$4.00 ,42.2475577,-85.5945787,49008,42.2008199,-85.6894113,49009,premise,Slot 22 : 6:00 - 6:59,Tuesday
8836,10/16/2019,SPC,9-954,42,360,1424 E VW Ave,390,2901 E Kilgore Rd,$4.00 ,42.1222604,-85.4209427,49097,42.245557,-85.5426275,49002,premise,Slot 22 : 6:00 - 6:59,Wednesday
5118,9/10/2019,SPC,9-974,43,360,4313 Duke St,390,701 Gibson St,$4.00 ,42.2470918,-85.5940978,49008,42.289091,-85.5730391,49007,street_address,Slot 22 : 6:00 - 6:59,Tuesday
1459,3/10/2019,SPW,*9-80,44,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Sunday
16715,10/31/2019,ADA,*9-80,45,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Thursday
9667,10/18/2019,ADA,*9-80,46,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Friday
2250,4/10/2019,SPC,9-970,47,360,4313 Duke St,390,701 Gibson St,$4.00 ,42.2470918,-85.5940978,49008,42.289091,-85.5730391,49007,street_address,Slot 22 : 6:00 - 6:59,Wednesday
4696,9/10/2019,SPW,*9-80,48,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Tuesday
189,1/10/2019,SPC,9-954,49,360,4313 Duke St,390,701 Gibson St,$4.00 ,42.2470918,-85.5940978,49008,42.289091,-85.5730391,49007,street_address,Slot 22 : 6:00 - 6:59,Thursday
207,1/10/2019,SPC,9-963,50,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Thursday
5251,10/10/2019,ADA,*9-80,51,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Thursday
9516,10/17/2019,SPC,9-956,52,360,5500 Armstrong Rd,390,2105 Lake St,$4.00 ,42.3416573,-85.2935956,49037,42.2806843,-85.553289,49001,premise,Slot 22 : 6:00 - 6:59,Thursday
9508,10/17/2019,SPC,*9-82,53,360,1842 S Park St,390,5779 Hawthorn St,$4.00 ,42.2729221,-85.5857497,49001,42.2337237,-85.671909,49009,street_address,Slot 22 : 6:00 - 6:59,Thursday
5300,10/10/2019,SPC,9-955,54,360,4313 Duke St,390,701 Gibson St,$4.00 ,42.2470918,-85.5940978,49008,42.289091,-85.5730391,49007,street_address,Slot 22 : 6:00 - 6:59,Thursday
9483,10/17/2019,SPW,*9-80,55,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Thursday
11371,10/22/2019,ADA,9-954,56,360,616 Dwight Ave,390,521 E Michigan Ave,$3.00 ,42.2977748,-85.5624162,49048,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Tuesday
900,2/10/2019,ADA,*9-82,57,360,7902 Lovers Ln,390,6739 Seeco Dr,$3.00 ,42.2024581,-85.5748877,49001,42.2926297,-85.6814376,49009,premise,Slot 22 : 6:00 - 6:59,Sunday
2353,4/10/2019,SPC,9-954,58,360,1424 E VW Ave,390,2901 E Kilgore Rd,$4.00 ,42.1222604,-85.4209427,49097,42.245557,-85.5426275,49002,premise,Slot 22 : 6:00 - 6:59,Wednesday
2401,4/10/2019,ADA,9-962,59,360,3706 Northview Dr,390,410 W Michigan Ave,$3.00 ,42.3296307,-85.6352771,49004,42.2918827,-85.5878173,49007,premise,Slot 22 : 6:00 - 6:59,Wednesday
9266,10/17/2019,ADA,9-954,60,360,1324 N Church St,390,521 E Michigan Ave,$3.00 ,42.3036907,-85.5862,49007,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Thursday
9241,10/17/2019,SPC,9-962,61,360,4303 Duke St,390,7141 Q Ave W,$4.00 ,42.2475577,-85.5945787,49008,42.2008199,-85.6894113,49009,premise,Slot 22 : 6:00 - 6:59,Thursday
2471,4/10/2019,ADA,*9-80,62,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Wednesday
16658,10/31/2019,ADA,9-954,63,360,616 Dwight Ave,390,521 E Michigan Ave,$3.00 ,42.2977748,-85.5624162,49048,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Thursday
1030,2/10/2019,SPC,*9-79,64,360,4313 Duke St,390,701 Gibson St,$4.00 ,42.2470918,-85.5940978,49008,42.289091,-85.5730391,49007,street_address,Slot 22 : 6:00 - 6:59,Sunday
9168,10/17/2019,ADA,*9-80,65,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Thursday
9072,10/17/2019,SPC,9-968,66,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Thursday
11601,10/22/2019,SPC,9-963,67,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Tuesday
15297,10/29/2019,SPC,9-963,68,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Tuesday
11633,10/22/2019,SPC,*9-82,69,360,4303 Duke St,390,7141 Q Ave W,$4.00 ,42.2475577,-85.5945787,49008,42.2008199,-85.6894113,49009,premise,Slot 22 : 6:00 - 6:59,Tuesday
2617,4/10/2019,ADA,*9-82,70,360,7902 Lovers Ln,390,6739 Seeco Dr,$3.00 ,42.2024581,-85.5748877,49001,42.2926297,-85.6814376,49009,premise,Slot 22 : 6:00 - 6:59,Wednesday
4533,9/10/2019,SPC,9-962,71,360,162 Valley 3 Dr,390,10362 S Sprinkle Rd,$4.00 ,42.290133,-85.6183232,49006,42.1666571,-85.5293177,49097,premise,Slot 22 : 6:00 - 6:59,Tuesday
7999,10/15/2019,SPC,*9-82,72,360,4303 Duke St,390,7141 Q Ave W,$4.00 ,42.2475577,-85.5945787,49008,42.2008199,-85.6894113,49009,premise,Slot 22 : 6:00 - 6:59,Tuesday
1415,3/10/2019,SPC,9-963,73,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Sunday
15054,10/29/2019,ADA,*9-79,74,360,3706 Northview Dr,390,410 W Michigan Ave,$3.00 ,42.3296307,-85.6352771,49004,42.2918827,-85.5878173,49007,premise,Slot 22 : 6:00 - 6:59,Tuesday
12306,10/23/2019,ADA,9-955,75,360,3706 Northview Dr,390,410 W Michigan Ave,$3.00 ,42.3296307,-85.6352771,49004,42.2918827,-85.5878173,49007,premise,Slot 22 : 6:00 - 6:59,Wednesday
7908,10/15/2019,ADA,*9-79,76,360,3706 Northview Dr,390,410 W Michigan Ave,$3.00 ,42.3296307,-85.6352771,49004,42.2918827,-85.5878173,49007,premise,Slot 22 : 6:00 - 6:59,Tuesday
7158,10/14/2019,SPW,*9-82,77,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Monday
14774,10/29/2019,ADA,9-954,78,360,1324 N Church St,390,521 E Michigan Ave,$3.00 ,42.3036907,-85.5862,49007,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Tuesday
5968,11/10/2019,ADA,*9-82,79,360,7902 Lovers Ln,390,6739 Seeco Dr,$3.00 ,42.2024581,-85.5748877,49001,42.2926297,-85.6814376,49009,premise,Slot 22 : 6:00 - 6:59,Sunday
4184,8/10/2019,ADA,9-962,80,360,3706 Northview Dr,390,410 W Michigan Ave,$3.00 ,42.3296307,-85.6352771,49004,42.2918827,-85.5878173,49007,premise,Slot 22 : 6:00 - 6:59,Saturday
7042,10/14/2019,SPC,9-954,81,360,1424 E VW Ave,390,2901 E Kilgore Rd,$4.00 ,42.1222604,-85.4209427,49097,42.245557,-85.5426275,49002,premise,Slot 22 : 6:00 - 6:59,Monday
3672,7/10/2019,SPC,9-963,82,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Wednesday
6981,10/14/2019,SPC,9-960,83,360,5500 Armstrong Rd,390,2105 Lake St,$4.00 ,42.3416573,-85.2935956,49037,42.2806843,-85.553289,49001,premise,Slot 22 : 6:00 - 6:59,Monday
12803,10/24/2019,ADA,9-954,84,360,616 Dwight Ave,390,521 E Michigan Ave,$3.00 ,42.2977748,-85.5624162,49048,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Thursday
13346,10/25/2019,SPC,9-970,85,360,5124 E R Ave,390,5500 Armstrong Rd,$4.00 ,42.1818636,-85.5282718,49002,42.3416573,-85.2935956,49037,premise,Slot 22 : 6:00 - 6:59,Friday
12858,10/24/2019,ADA,9-954,86,360,1324 N Church St,390,521 E Michigan Ave,$3.00 ,42.3036907,-85.5862,49007,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Thursday
6859,10/14/2019,ADA,9-965,87,360,7902 Lovers Ln,390,6739 Seeco Dr,$3.00 ,42.2024581,-85.5748877,49001,42.2926297,-85.6814376,49009,premise,Slot 22 : 6:00 - 6:59,Monday
12915,10/24/2019,ADA,*9-80,88,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Thursday
6703,12/10/2019,SPC,9-958,89,360,6380 South 25th St.,390,6330 S Westnedge Ave,$4.00 ,42.2248095,-85.5218547,49048,42.2233771,-85.592044,49002,street_address,Slot 22 : 6:00 - 6:59,Tuesday
6696,12/10/2019,SPC,9-954,90,360,9677 N 32nd St,390,521 E Michigan Ave,$4.00 ,42.399715,-85.457795,49083,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Tuesday
6069,11/10/2019,ADA,9-960,91,360,3706 Northview Dr,390,410 W Michigan Ave,$3.00 ,42.3296307,-85.6352771,49004,42.2918827,-85.5878173,49007,premise,Slot 22 : 6:00 - 6:59,Sunday
16413,10/31/2019,SPC,*9-82,92,360,4303 Duke St,390,7141 Q Ave W,$4.00 ,42.2475577,-85.5945787,49008,42.2008199,-85.6894113,49009,premise,Slot 22 : 6:00 - 6:59,Thursday
6625,12/10/2019,SPC,9-956,93,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Tuesday
4111,8/10/2019,SPC,9-956,94,360,1641 Persianwood Cir,390,5500 Armstrong Rd,$4.00 ,42.3072961,-85.6426269,49006,42.3416573,-85.2935956,49037,premise,Slot 22 : 6:00 - 6:59,Saturday
6314,11/10/2019,SPC,9-955,95,360,4313 Duke St,390,701 Gibson St,$4.00 ,42.2470918,-85.5940978,49008,42.289091,-85.5730391,49007,street_address,Slot 22 : 6:00 - 6:59,Sunday
14485,10/28/2019,SPC,9-958,96,360,433 Victoria Ct.,390,5500 Armstrong Rd,$4.00 ,42.2267156,-85.5933548,49024,42.3416573,-85.2935956,49037,premise,Slot 22 : 6:00 - 6:59,Monday
6357,11/10/2019,SPC,9-954,97,360,1424 E VW Ave,390,2901 E Kilgore Rd,$4.00 ,42.1222604,-85.4209427,49097,42.245557,-85.5426275,49002,premise,Slot 22 : 6:00 - 6:59,Sunday
1135,2/10/2019,ADA,9-962,98,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Sunday
13155,10/24/2019,SPC,9-970,99,360,4303 Duke St,390,7141 Q Ave W,$4.00 ,42.2475577,-85.5945787,49008,42.2008199,-85.6894113,49009,premise,Slot 22 : 6:00 - 6:59,Thursday
7240,10/14/2019,SPC,9-963,100,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Monday
15873,10/30/2019,ADA,*9-80,101,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Wednesday
3967,8/10/2019,ADA,9-955,102,360,1324 N Church St,390,521 E Michigan Ave,$3.00 ,42.3036907,-85.5862,49007,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Saturday
3938,8/10/2019,SPC,*9-82,103,360,4303 Duke St,390,7141 Q Ave W,$4.00 ,42.2475577,-85.5945787,49008,42.2008199,-85.6894113,49009,premise,Slot 22 : 6:00 - 6:59,Saturday
13103,10/24/2019,SPW,*9-80,104,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Thursday
3906,8/10/2019,SPW,*9-80,105,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Saturday
13078,10/24/2019,SPC,9-963,106,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Thursday
14431,10/28/2019,SPC,9-954,107,360,1424 E VW Ave,390,2901 E Kilgore Rd,$4.00 ,42.1222604,-85.4209427,49097,42.245557,-85.5426275,49002,premise,Slot 22 : 6:00 - 6:59,Monday
13271,10/25/2019,ADA,*9-76,108,360,7902 Lovers Ln,390,6739 Seeco Dr,$3.00 ,42.2024581,-85.5748877,49001,42.2926297,-85.6814376,49009,premise,Slot 22 : 6:00 - 6:59,Friday
453,1/10/2019,SPC,*9-82,109,360,4303 Duke St,390,7141 Q Ave W,$4.00 ,42.2475577,-85.5945787,49008,42.2008199,-85.6894113,49009,premise,Slot 22 : 6:00 - 6:59,Thursday
16465,10/31/2019,ADA,*9-79,110,360,1324 N Church St,390,521 E Michigan Ave,$3.00 ,42.3036907,-85.5862,49007,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Thursday
5906,10/10/2019,SPW,*9-80,111,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Thursday
12285,10/23/2019,SPC,9-959,112,360,4303 Duke St,390,7141 Q Ave W,$4.00 ,42.2475577,-85.5945787,49008,42.2008199,-85.6894113,49009,premise,Slot 22 : 6:00 - 6:59,Wednesday
11175,10/22/2019,SPW,*9-80,113,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Tuesday
3061,7/10/2019,ADA,*9-82,114,360,7902 Lovers Ln,390,6739 Seeco Dr,$3.00 ,42.2024581,-85.5748877,49001,42.2926297,-85.6814376,49009,premise,Slot 22 : 6:00 - 6:59,Wednesday
14321,10/28/2019,SPC,9-963,115,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Monday
16527,10/31/2019,SPC,9-972,116,360,1903 W Michigan Ave,390,10362 S Sprinkle Rd,$4.00 ,42.2845248,-85.6102235,49008,42.1666571,-85.5293177,49097,premise,Slot 22 : 6:00 - 6:59,Thursday
7750,10/15/2019,ADA,9-954,117,360,616 Dwight Ave,390,521 E Michigan Ave,$3.00 ,42.2977748,-85.5624162,49048,42.2941977,-85.577075,49001,street_address,Slot 22 : 6:00 - 6:59,Tuesday
13521,10/25/2019,ADA,*9-79,118,360,3706 Northview Dr,390,410 W Michigan Ave,$3.00 ,42.3296307,-85.6352771,49004,42.2918827,-85.5878173,49007,premise,Slot 22 : 6:00 - 6:59,Friday
3108,7/10/2019,SPC,9-954,119,360,1424 E VW Ave,390,2901 E Kilgore Rd,$4.00 ,42.1222604,-85.4209427,49097,42.245557,-85.5426275,49002,premise,Slot 22 : 6:00 - 6:59,Wednesday
7670,10/15/2019,ADA,*9-80,120,360,3610 S Circle Dr,390,4200 Davis Creek Ct,$3.00 ,42.334607,-85.5355127,49004,42.2474764,-85.5365967,49001,street_address,Slot 22 : 6:00 - 6:59,Tuesday
7669,10/15/2019,SPW,*9-80,121,360,3232 Mt Olivet Rd,390,3300 Cooley Ct,$0.00 ,42.3226625,-85.5473919,49004,42.1996309,-85.6276723,49024,street_address,Slot 22 : 6:00 - 6:59,Tuesday
4789,9/10/2019,SPC,9-963,122,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Tuesday
7649,10/15/2019,SPC,9-963,123,360,7039 W Ml Ave,390,501 N 9th St,$4.00 ,42.2666994,-85.6880877,49009,42.2929099,-85.6855413,49009,street_address,Slot 22 : 6:00 - 6:59,Tuesday
7634,10/15/2019,SPC,9-959,124,360,4313 Duke St,390,701 Gibson St,$4.00 ,42.2470918,-85.5940978,49008,42.289091,-85.5730391,49007,street_address,Slot 22 : 6:00 - 6:59,Tuesday
