Bus 0: 
(42.2906376, -85.6517559)
(42.2976289, -85.6453204)
(42.3035838, -85.6468513)
(42.3091453, -85.6388108)
(42.3035838, -85.6468513)
(42.3035838, -85.6468513)
(42.2975088, -85.6419512)
(42.2980531, -85.650948)
(42.3013041, -85.6615485)
(42.2714132, -85.6454139)
(42.2656637, -85.6205602)
(42.2600107, -85.581349)
(42.2600107, -85.581349)
(42.2687716, -85.568577)
(42.2697556, -85.5644417)
(42.2565491, -85.5632907)
(42.2243439, -85.5948914)
(42.2243439, -85.5948914)
(42.2243439, -85.5948914)
(42.2243439, -85.5948914)
(42.2243439, -85.5948914)
(42.1530531, -85.4744776)
(42.2002649, -85.5607121)
(42.2490313, -85.5901938)
(42.2421406, -85.5875781)
(42.2808139, -85.6558252)
(42.2979491, -85.6530804)
(42.2813565, -85.6499935)
(42.2749172, -85.642907)
(42.2480641, -85.5891252)
(42.2480641, -85.5891252)
(42.2926297, -85.6814376)
(42.2929099, -85.6855413)
(42.2929099, -85.6855413)
(42.2700014, -85.642046)
(42.2952458, -85.6668868)
(42.305617, -85.6521774)
(42.3116657, -85.6399944)
(42.2308456, -85.5543798)
(42.2107184, -85.5547767)
(42.2212724, -85.6030875)
(42.2503373, -85.5597317)
(42.2421406, -85.5875781)
(42.226219, -85.5847363)
(42.2415825, -85.5905719)
(42.2808549, -85.6031249)
(42.2808549, -85.6031249)
(42.2808549, -85.6031249)
(42.2808549, -85.6031249)
(42.2523655, -85.6836554)
(42.2529993, -85.6824559)
(42.2272007, -85.6807872)
(42.2246151, -85.6555688)
(42.2439946, -85.5861347)
(42.2439946, -85.5861347)
(42.2243439, -85.5948914)
(42.2035411, -85.5334209)
(42.2052119, -85.5373026)
(42.2649931, -85.5125396)
(42.2307017, -85.6001949)
(42.120489, -85.6816698)
(42.2308456, -85.5543798)
(42.305617, -85.6521774)
Time Saved: 672
Average Pick Up Delay: 4.8
Average Drop Off Delay: 6.571428571428571
----------------------------------------------
Bus 4: 
(42.2845248, -85.6102235)
(42.1666571, -85.5293177)
(42.120423, -85.5307056)
(42.3910948, -85.6264769)
(42.3485144, -85.4970241)
(42.2274271, -85.5900294)
(42.2117563, -85.5766868)
(42.2496129, -85.5839319)
(42.2888714, -85.5832356)
(42.2994304, -85.5891453)
(42.3904795, -85.6185862)
(42.3904795, -85.6185862)
(42.3910948, -85.6264769)
(42.3910948, -85.6264769)
(42.2842051, -85.5771051)
(42.2819536, -85.5823992)
(42.2719011, -85.5977039)
(42.2719011, -85.5977039)
(42.3168033, -85.5427124)
(42.2984929, -85.6254395)
(42.2980531, -85.650948)
(42.2979491, -85.6530804)
(42.2929099, -85.6855413)
(42.2964863, -85.6794835)
(42.2929099, -85.6855413)
(42.2964863, -85.6794835)
(42.2808139, -85.6558252)
(42.2813565, -85.6499935)
(42.2792371, -85.6546925)
(42.278267, -85.6356183)
(42.2714132, -85.6454139)
(42.2714132, -85.6454139)
(42.2719011, -85.5977039)
(42.2719011, -85.5977039)
(42.2842051, -85.5771051)
(42.3291389, -85.5504138)
(42.3904795, -85.6185862)
(42.265642, -85.6615162)
(42.2888714, -85.5832356)
(42.2649931, -85.5125396)
(42.2600107, -85.581349)
(42.2600107, -85.581349)
(42.2644409, -85.5868107)
(42.2709567, -85.5921189)
(42.2600107, -85.581349)
(42.2555891, -85.5635254)
(42.2513353, -85.5636076)
(42.2569035, -85.5556076)
(42.2829222, -85.5997965)
(42.29262, -85.592362)
(42.3228715, -85.6170862)
(42.3091453, -85.6388108)
(42.2808903, -85.5517207)
(42.2808903, -85.5517207)
(42.2433058, -85.6014202)
(42.2808549, -85.6031249)
(42.2796433, -85.6190297)
(42.2705861, -85.6072273)
(42.2531151, -85.5809873)
(42.2845248, -85.6102235)
(42.2274306, -85.5575273)
(42.2349358, -85.6709079)
(42.2272007, -85.6807872)
(42.2821209, -85.5058387)
(42.2955932, -85.6296204)
(42.3558935, -85.6638559)
(42.2915788, -85.6502307)
(42.3457165, -85.7282224)
Time Saved: 685
Average Pick Up Delay: 2.8529411764705883
Average Drop Off Delay: 8.205882352941176
----------------------------------------------
Bus 5: 
(42.334607, -85.5355127)
(42.2474764, -85.5365967)
(42.1233297, -85.5241883)
(42.2886714, -85.5815226)
(42.2664092, -85.6967507)
(42.2984929, -85.6254395)
(42.3175999, -85.5444418)
(42.3168033, -85.5427124)
(42.3166742, -85.5896075)
(42.3089574, -85.5905104)
(42.3043238, -85.613612)
(42.3009073, -85.6212229)
(42.2808549, -85.6031249)
